Time,Country Code,Country Name,GDP (current US$),GDP growth (annual %),Number of infant deaths,Number of neonatal deaths,"Mortality rate, neonatal (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Net migration,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Fertility rate, total (births per woman)",Sex ratio at birth (male births per female births),Population growth (annual %),"Population, total","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)",Rural population,Rural population growth (annual %),Rural population (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population),"Healthy life expectancy, total (years)","Healthy life expectancy, male (years)","Healthy life expectancy, female (years)"
1987,SLV,El Salvador,3958045800.0,2.5,9388.0,4384.0,24.5,53.0,48.0,-32308.0,124.7,183.3,409.5,35.2,9.2,48.8,53.5,58.0,65.7,59.7,54.0,4.2,1.0,1.9,5067200.0,2602037.0,51.4,2465162.0,48.6,2649436.0,0.9,52.3,3.0,2417764.0,47.7,,,
1987,SUR,Suriname,980000000.0,-6.2,526.0,,,71.0,70.0,-5467.0,94.0,220.6,336.4,31.4,8.2,37.7,42.5,47.1,66.5,63.2,60.1,3.4,1.0,1.1,396867.0,198969.0,50.1,197898.0,49.9,136987.0,0.9,34.5,1.3,259880.0,65.5,,,
1987,TON,Tonga,81667133.5,3.0,64.0,,,99.0,88.0,-1781.0,38.6,171.6,309.1,31.1,6.9,18.2,20.8,23.2,71.0,66.9,63.4,4.9,1.1,0.3,97392.0,48172.0,49.5,49220.0,50.5,75373.0,0.2,77.4,0.8,22019.0,22.6,,,
1987,TUV,Tuvalu,,,13.0,,,59.0,65.0,-39.0,49.3,246.6,375.6,35.1,10.5,37.4,42.3,47.1,64.4,61.4,58.3,4.0,1.1,2.0,8665.0,4540.0,52.4,4125.0,47.6,5480.0,0.0,63.2,5.5,3185.0,36.8,,,
1987,URY,Uruguay,7367494080.4,8.0,1235.0,688.0,12.9,85.0,88.0,-6833.0,60.2,99.7,194.2,17.4,9.4,20.4,23.1,25.7,76.6,72.6,68.8,2.4,1.1,0.6,3058787.0,1562906.0,51.1,1495881.0,48.9,369318.0,-2.4,12.1,1.0,2689469.0,87.9,,,
1987,USA,United States,4855215000000.0,3.5,38016.0,24517.0,6.5,97.0,82.0,677547.0,50.2,94.3,176.2,15.7,8.6,9.0,10.2,11.3,78.3,74.8,71.4,1.9,1.0,0.9,242289000.0,123858168.0,51.1,118430832.0,48.9,61073788.0,0.3,25.2,1.1,181215212.0,74.8,,,
1987,VEN,Venezuela,48029034482.8,3.6,15319.0,,,57.0,54.0,190.0,99.3,118.9,179.3,30.4,4.8,24.6,27.8,30.8,73.3,71.0,68.8,3.7,1.0,2.6,18328655.0,9140693.0,49.9,9187961.0,50.1,3134200.0,-0.2,17.1,3.2,15194455.0,82.9,,,
1987,VUT,Vanuatu,139464173.5,-2.9,181.0,,,56.0,34.0,-876.0,89.0,194.1,288.1,38.7,7.5,31.0,33.8,36.4,67.6,64.6,62.3,5.2,1.1,2.5,139956.0,67703.0,48.4,72254.0,51.6,115362.0,2.0,82.4,5.0,24594.0,17.6,,,
1987,WSM,Samoa,111713922.1,0.5,155.0,,,93.0,78.0,-3812.0,53.9,162.1,274.2,33.7,6.2,24.6,27.3,29.8,70.5,66.9,64.1,5.2,1.1,0.2,166773.0,78844.0,47.3,87928.0,52.7,131417.0,0.2,78.8,0.2,35356.0,21.2,,,
1988,ARG,Argentina,126206817196.1,-1.1,17747.0,11360.0,16.3,80.0,87.0,30243.0,70.3,119.6,209.0,22.1,8.0,22.5,25.6,28.5,74.4,71.1,67.7,3.0,1.1,1.5,31690792.0,16100939.0,50.8,15589854.0,49.2,4362871.0,-1.3,13.8,2.0,27327921.0,86.2,,,
1988,AUS,Australia,236153958090.8,5.8,2050.0,1242.0,5.1,88.0,77.0,150553.0,19.6,72.0,132.6,14.9,7.2,7.4,8.4,9.4,79.7,76.4,73.3,1.8,1.1,1.6,16532164.0,8282694.0,50.1,8249470.0,49.9,2398321.0,1.8,14.5,1.6,14133843.0,85.5,,,
